S. No.,NAME OF MINISTRY AND DEPARTMENT,2016-17 ACTUAL,2017-18 R E,2018-19 B E
1,Ministry of Agriculture & Farmers Welfare,62273083,71712450,80022500
2,Ministry of AYUSH,5675296,5946800,6745000
3,Ministry of chemicals & fertilizers,2303800,3292700,2617500
4,Ministry of Civil Aviation,410000,450000,499000
5,Ministry of Coal,85000,100000,100000
6,Ministry of Commerce and Industry,203264,1842800,1896500
7,Ministry of Communication,33693,109900,126600
8,"Ministry of Consumer Affairs, Food & Public Distr.",436858,413750,451470
9,Ministry of Cooperate Affairs,100000,78500,59000
10,Ministry of Culture,22609540,25932600,27642800
11,Ministry of Defence,133138000,125762100,136609000
12,Ministry of Development of N.E.Region,1034261,762500,773000
13,Ministry of Earth Sciences,1706426,1990700,2446300
14,"Ministry of Enviorment,Forest & Climate Change",4218796,5300100,4469000
15,Ministry of External Affairs,2709592,5369500,5871000
16,Ministry of Health & Family Welfare,175588317,106765600,115515400
17,Ministry of Home Affairs,786766,1472600,1818300
18,Ministry of Housing and Urban Development,278991,286700,291200
19,Ministry of Information & Broadcasting,704602,524040,793000
20,Ministry of Labour & Employment,0,1120196,1566700
21,Ministry of Law & Justice,272080,300600,544500
22,"Ministry of Micro, Small & Medium Enterprises",1919835,2046500,3761000
23,Ministry of Minority Affairs,15092344,23828850,27390100
24,Ministry of New & Renewable Energy,2268356,1360000,1410400
25,"Ministry of Personnel, P. Grivences & Pension",1645421,1835913,1861535
26,Ministry of Petroleum & Natural Gas,1330000,1227500,330000
27,Ministry of Power,1061900,1075600,2505500
28,Ministry of Railways,9020750,11173350,12040583
29,Ministry of Road Transport & Highways,170784,1233210,908800
30,Ministry of Science & Technology,142588468,160283478,125462300
31,Ministry of Shipping,650000,300000,300000
32,Ministry of Social Justice & Empowerment,104475424,64010500,59373070
33,Ministry of Space,44528024,53806100,54955800
34,Ministry of Statistics & Prg. Imp.,2397650,2716510,2794210
35,Ministry of Textiles,3369690,1545800,2074200
36,Ministry of Tribal Affairs,861017,19483500,23286490
37,Ministry of Water Resources & River Development,1901350,3425620,4360525
38,Ministry of Women & Child Development,78412706,132891300,130631800
39,Ministry of Youth Affairs & Sports,15615044,19034100,21383100
40,Department of Atomic Energy,73390627,84891555,85589756
41,Department of Food Processing Ind.,738681,1274000,906000
42,Department of Post,1206264,1781080,1444850
43,Ministry of education,716318218,816220800,84755400
44,"Parliament Secretariats of the President and Vice
President",6954,9800,9920
