"S.
No.",STATE/UNION TERRITORY,EDUCATION DEPARTMENTS,O D 16-17 ACTUAL EDUCATION,O D 16-17 ACTUAL TRAINING FORMAL,O D 16-17 ACTUAL TRAINING INFORMAL,O D 16-17  ACTUAL       TOTAL,GRAND TOTAL
,,,,,,,
,,,,,,,
1.0,ANDHRA PRADESH,185480855.0,119332054.0,1729367.0,0.0,121061421.0,306542276.0
2.0,ARUNACHAL PRADESH,9952729.0,2918397.0,63352.0,0.0,2981749.0,12934478.0
3.0,ASSAM,114411384.0,14026157.0,1029672.0,0.0,15055829.0,129467213.0
4.0,BIHAR,106840471.0,31110402.0,4254511.0,4370.0,35369283.0,142209754.0
5.0,CHHATTISGARH,97097530.0,5262336.0,2167419.0,280990.0,7710745.0,104808275.0
6.0,GOA,13157763.0,539505.0,419668.0,0.0,959173.0,14116936.0
7.0,GUJARAT,182950111.0,68542451.0,75692030.0,631139.0,144865621.0,327815732.0
8.0,HARYANA,100599333.0,16084368.0,3141559.0,26170.0,19252097.0,119851430.0
9.0,HIMACHAL PRADESH,43373968.0,5322973.0,1216525.0,0.0,6539498.0,49913466.0
10.0,JAMMU & KASHMIR,46080530.0,13415002.0,6007900.0,0.0,19422902.0,65503432.0
11.0,JHARKHAND,70918611.0,16096516.0,2239437.0,20000.0,18355953.0,89274564.0
12.0,KARNATAKA,201136332.0,47032047.0,14375282.0,0.0,61407329.0,262543661.0
13.0,KERALA,162336837.0,59595607.0,5618838.0,757885.0,65972329.0,228309166.0
14.0,MADHYA PRADESH,171221925.0,46702501.0,4338432.0,0.0,51040933.0,222262858.0
15.0,MAHARAHSTRA,431740455.0,140958665.0,9206459.0,17833.0,150182957.0,581923412.0
16.0,MANIPUR,8369993.0,5232012.0,478962.0,4949.0,5715923.0,14085916.0
17.0,MEGHALAYA,17363546.0,1564771.0,547472.0,0.0,2112243.0,19475789.0
18.0,MIZORAM,8862080.0,8181515.0,7907764.0,60379.0,16149658.0,25011738.0
19.0,NAGALAND,10400019.0,301479.0,666265.0,0.0,967744.0,11367763.0
20.0,ODISHA,93760940.0,28519704.0,9190598.0,120961.0,37831263.0,131592203.0
21.0,PUNJAB,86327773.0,11913243.0,2437057.0,0.0,14350300.0,100678073.0
22.0,RAJASTHAN,242702129.0,24549121.0,2471925.0,0.0,27021046.0,269723175.0
23.0,SIKKIM,6641050.0,307871.0,501922.0,19620.0,829413.0,7470463.0
24.0,TAMIL NADU,254714426.0,86546589.0,8164209.0,264970.0,94975768.0,349690194.0
25.0,TELANGANA,87610016.0,92461011.0,1956141.0,0.0,94417152.0,182027168.0
26.0,TRIPURA,15832479.0,1703715.0,354826.0,5691.0,2064232.0,17896711.0
27.0,UTTARAKHAND,46199942.0,11987290.0,1232586.0,0.0,13219876.0,59419818.0
28.0,UTTAR PRADESH,420310798.0,139159921.0,5622843.0,0.0,144782764.0,565093562.0
29.0,WEST BENGAL,225540913.0,95251191.0,4564168.0,0.0,99815359.0,325356272.0
30.0,A & N ISLANDS,4978889.0,996707.0,197877.0,7442.0,1202026.0,6180915.0
31.0,CHANDIGARH,6040133.0,2563602.0,247900.0,0.0,2811502.0,8851635.0
32.0,DADRA & NAGAR HAVELI,1815770.0,85878.0,26175.0,0.0,112053.0,1927823.0
33.0,DAMAN & DIU,1616223.0,104533.0,40105.0,0.0,144638.0,1760861.0
34.0,DELHI,75099811.0,3469919.0,2013084.0,0.0,5483003.0,80582814.0
35.0,LAKSHADWEEP,1428751.0,195926.0,0.0,0.0,195926.0,1624677.0
36.0,PUDUCHERRY,7888538.0,2423097.0,142392.0,22546.0,2588035.0,10476573.0
37.0,CENTRAL TOTAL,719306500.0,917219654.0,46696353.0,0.0,963916007.0,1683222507.0
