"S.
No.",STATE/UNION TERRITORY,EDUCATION DEPARTMENTS,O D 17-18 RE EDUCATION,O D 17-18 RE TRAINING FORMAL,O D 17-18 RE TRAINING INFORMAL,O D 17-18 RE TOTAL,GRAND TOTAL
,,,,,,,
,,,,,,,
1.0,ANDHRA PRADESH,199862613.0,139647298.0,2884654.0,0.0,142531952.0,342394565.0
2.0,ARUNACHAL PRADESH,11212379.0,3539168.0,391588.0,0.0,3930756.0,15143135.0
3.0,ASSAM,146707182.0,18728023.0,1773113.0,0.0,20501136.0,167208318.0
4.0,BIHAR,138887286.0,36215850.0,5521100.0,6446.0,41743396.0,180630682.0
5.0,CHHATTISGARH,115301967.0,8440080.0,2910122.0,532970.0,11883172.0,127185139.0
6.0,GOA,15598422.0,7402193.0,586446.0,0.0,7988639.0,23587061.0
7.0,GUJARAT,216473958.0,74148187.0,83471564.0,624583.0,158244334.0,374718292.0
8.0,HARYANA,115075535.0,19145328.0,4053443.0,54460.0,23253231.0,138328766.0
9.0,HIMACHAL PRADESH,32834945.0,10872384.0,1827559.0,0.0,12699943.0,45534888.0
10.0,JAMMU & KASHMIR,51513407.0,12278542.0,3137139.0,0.0,15415681.0,66929088.0
11.0,JHARKHAND,81298860.0,18405314.0,2861740.0,50000.0,21317054.0,102615914.0
12.0,KARNATAKA,210677882.0,52173826.0,16946069.0,0.0,69119895.0,279797777.0
13.0,KERALA,173582553.0,68380105.0,5595049.0,601881.0,74577034.0,248159587.0
14.0,MADHYA PRADESH,209122904.0,43223526.0,6289379.0,0.0,49512905.0,258635809.0
15.0,MAHARAHSTRA,500823579.0,142342501.0,10251600.0,42661.0,152636762.0,653460341.0
16.0,MANIPUR,9976267.0,5060241.0,496559.0,3637.0,5560437.0,15536704.0
17.0,MEGHALAYA,17958067.0,1718260.0,803501.0,0.0,2521761.0,20479828.0
18.0,MIZORAM,9652455.0,9137458.0,8790438.0,61764.0,17989660.0,27642115.0
19.0,NAGALAND,11561919.0,319799.0,739236.0,0.0,1059035.0,12620954.0
20.0,ODISHA,120988440.0,31679086.0,14445067.0,98365.0,46222518.0,167210958.0
21.0,PUNJAB,104655925.0,13834140.0,3360331.0,0.0,17194471.0,121850396.0
22.0,RAJASTHAN,233176306.0,24526706.0,2746320.0,0.0,27273026.0,260449332.0
23.0,SIKKIM,7411104.0,425262.0,491808.0,20548.0,937618.0,8348722.0
24.0,TAMIL NADU,279726298.0,98880544.0,10126683.0,307640.0,109314867.0,389041165.0
25.0,TELANGANA,102295813.0,90518859.0,1933800.0,0.0,92452659.0,194748472.0
26.0,TRIPURA,20319987.0,1748601.0,414875.0,5478.0,2168953.0,22488941.0
27.0,UTTARAKHAND,54693711.0,14616470.0,1435635.0,0.0,16052105.0,70745815.0
28.0,UTTAR PRADESH,485612483.0,184296753.0,8332682.0,0.0,192629435.0,678241918.0
29.0,WEST BENGAL,249863659.0,113037643.0,3317160.0,0.0,116354803.0,366218462.0
30.0,A & N ISLANDS,5592200.0,653092.0,223861.0,7440.0,884393.0,6476593.0
31.0,CHANDIGARH,6424200.0,2825980.0,298770.0,0.0,3124750.0,9548950.0
32.0,DADRA & NAGAR HAVELI,1629100.0,98100.0,35480.0,0.0,133580.0,1762680.0
33.0,DAMAN & DIU,1516000.0,100000.0,46110.0,0.0,146110.0,1662110.0
34.0,DELHI,91686020.0,5183573.0,4377277.0,0.0,9560850.0,101246870.0
35.0,LAKSHADWEEP,1498200.0,182550.0,24200.0,0.0,206750.0,1704950.0
36.0,PUDUCHERRY,7743301.0,2286089.0,177926.0,26149.0,2490164.0,10233465.0
37.0,CENTRAL TOTAL,818687100.0,948768402.0,56760807.0,0.0,1005529209.0,
