"S.
No.",STATE/UNION TERRITORY,16-17 ACRUAL TOTAL STATE BUDGET,16-17 ACTUAL EXP. ON EDU. BY EDU. & OTHER DEPTS.,16-17 ACTUAL % AGE  OF  COL4 To COL3,17-18 R E TOTAL STATE BUDGET,17-18 R E         EXP. ON EDU. BY EDU. & OTHER DEPTS.,17-18 R E      % AGE  OF COL7 To   COL6,18-19 B E    TOTAL STATE BUDGET,18-19 B E       EXP. ON EDU. BY EDU. & OTHER DEPTS.,18-19 B E    % AGE  OF COL(10) To COL(9)
,,,,,,,,,,
1.0,ANDHRA PRADESH,1161782100.0,306542276.0,26.39,1272720200.0,342394565.0,26.9,1502719900.0,409374480.0,27.24
2.0,ARUNACHAL PRADESH,93945400.0,12934478.0,13.77,114313300.0,15143135.0,13.25,102556600.0,12904713.0,12.58
3.0,ASSAM,493627200.0,129467213.0,26.23,792565400.0,167208318.0,21.1,713293700.0,181426170.0,25.43
4.0,BIHAR,947651800.0,142209754.0,15.01,1316612400.0,180630682.0,13.72,1367396700.0,197320918.0,14.43
5.0,CHHATTISGARH,481646000.0,104808275.0,21.76,653921000.0,127185139.0,19.45,684226200.0,165129691.0,24.13
6.0,GOA,88659700.0,14116936.0,15.92,106123000.0,23587061.0,22.23,117360500.0,26154618.0,22.29
7.0,GUJARAT,1038948300.0,327815732.0,31.55,1255739200.0,374718292.0,29.84,1346333000.0,369598258.0,27.45
8.0,HARYANA,684034300.0,119851430.0,17.52,783113000.0,138328766.0,17.66,851865300.0,159047601.0,18.67
9.0,HIMACHAL PRADESH,253442200.0,49913466.0,19.69,306511500.0,45534888.0,14.86,335679600.0,71894053.0,21.42
10.0,JAMMU & KASHMIR,398121800.0,65503432.0,16.45,433237600.0,66929088.0,15.45,505600800.0,80465102.0,15.91
11.0,JHARKHAND,450858900.0,89274564.0,19.8,582224300.0,102615914.0,17.62,627444400.0,118179683.0,18.84
12.0,KARNATAKA,1319207500.0,262543661.0,19.9,1456490700.0,279797777.0,19.21,1662896000.0,301787686.0,18.15
13.0,KERALA,910963100.0,228309166.0,25.06,1013464900.0,248159587.0,24.49,1156610500.0,268470091.0,23.21
14.0,MADHYA PRADESH,1195373700.0,222262858.0,18.59,1344965300.0,258635809.0,19.23,1556239200.0,304544642.0,19.57
15.0,MAHARAHSTRA,2132287300.0,581923412.0,27.29,2724482600.0,653460341.0,23.98,3013428600.0,727478862.0,24.14
16.0,MANIPUR,81847600.0,14085916.0,17.21,102941100.0,15536704.0,15.09,110092400.0,16215775.0,14.73
17.0,MEGHALAYA,83365400.0,19475789.0,23.36,106476400.0,20479828.0,19.23,120363000.0,17391965.0,14.45
18.0,MIZORAM,62303400.0,25011738.0,40.15,75988800.0,27642115.0,36.38,71796200.0,28633227.0,39.88
19.0,NAGALAND,86640700.0,11367763.0,13.12,105623500.0,12620954.0,11.95,121128300.0,15075674.0,12.45
20.0,ODISHA,650405300.0,131592203.0,20.23,808225600.0,167210958.0,20.69,902200000.0,188867898.0,20.93
21.0,PUNJAB,552960500.0,100678073.0,18.21,711819000.0,121850396.0,17.12,863512700.0,127380511.0,14.75
22.0,RAJASTHAN,1271401400.0,269723175.0,21.21,1548585100.0,260449332.0,16.82,1691183500.0,312482154.0,18.48
23.0,SIKKIM,37880800.0,7470463.0,19.72,48738600.0,8348722.0,17.13,53562700.0,8981331.0,16.77
24.0,TAMIL NADU,1531952600.0,349690194.0,22.83,1741949700.0,389041165.0,22.33,1937420600.0,413080417.0,21.32
25.0,TELANGANA,814322000.0,182027168.0,22.35,1066028500.0,194748472.0,18.27,1254547000.0,229447523.0,18.29
26.0,TRIPURA,87476800.0,17896711.0,20.46,112127200.0,22488941.0,20.06,129339700.0,27433611.0,21.21
27.0,UTTARAKHAND,252715000.0,59419818.0,23.51,297447000.0,70745815.0,23.78,356273100.0,88460241.0,24.83
28.0,UTTAR PRADESH,2365922600.0,565093562.0,23.88,2865135700.0,678241918.0,23.67,3215202700.0,863006039.0,26.84
29.0,WEST BENGAL,1339175600.0,325356272.0,24.3,1440396900.0,366218462.0,25.42,1467477600.0,404540164.0,27.57
30.0,A & N ISLANDS,40039800.0,6180915.0,15.44,38407200.0,6476593.0,16.86,39430100.0,6692990.0,16.97
31.0,CHANDIGARH,32855700.0,8851635.0,26.94,36493700.0,9548950.0,26.17,37454200.0,10268900.0,27.42
32.0,DADRA & NAGAR HAVELI,7418700.0,1927823.0,25.99,7597800.0,1762680.0,23.2,8006200.0,1405380.0,17.55
33.0,DAMAN & DIU,4522700.0,1760861.0,38.93,4373300.0,1662110.0,38.01,4648500.0,1579100.0,33.97
34.0,DELHI,293019200.0,80582814.0,27.5,363264600.0,101246870.0,27.87,430918100.0,108435900.0,25.16
35.0,LAKSHADWEEP,8811400.0,1624677.0,18.44,10465300.0,1704950.0,16.29,10938600.0,1704570.0,15.58
36.0,PUDUCHERRY,54582600.0,10476573.0,19.19,59607800.0,10233465.0,17.17,64570000.0,12504669.0,19.37
37.0,CENTRAL TOTAL,19330180600.0,1683222507.0,8.71,22175342000.0,1824216309.0,8.23,24098951200.0,1877007731.0,7.79
