"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,Unnamed: 9,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,ANDHRA PRADESH,,3102003,,4.22,,3879555,,4.83,,4267149,,4.52,
2,ARUNACHAL PRADESH,,0,,0.0,,10000,,0.14,,50000,,0.88,
3,ASSAM,,185957,,0.3,,1214315,,1.57,,1170105,,1.45,
4,BIHAR,,236267,,0.48,,1216900,,2.12,,716801,,1.23,
5,CHHATTISGARH,,915441,,1.78,,1478000,,2.39,,1558000,,1.81,
6,GOA,,995550,,33.25,,1200000,,32.24,,1250000,,28.07,
7,GUJARAT,,0,,0.0,,0,,0.0,,0,,0.0,
8,HARYANA,,365135,,0.65,,360000,,0.57,,430000,,0.6,
9,HIMACHAL PRADESH,,36702,,0.16,,7403,,0.12,,2000,,0.01,
10,JAMMU & KASHMIR,,0,,0.0,,0,,0.0,,0,,0.0,
11,JHARKHAND,,1727818,,3.78,,1810878,,3.79,,1903293,,3.35,
12,KARNATAKA,,2261882,,2.14,,3500000,,3.06,,2000000,,1.51,
13,KERALA,,37615890,,59.4,,39808578,,60.36,,41282251,,60.09,
14,MADHYA PRADESH,,1913489,,1.96,,2045000,,1.67,,5048200,,4.85,
15,MAHARAHSTRA,,74541,,0.04,,1226684,,0.52,,1086002,,0.42,
16,MANIPUR,,200510,,5.93,,260106,,6.21,,260106,,6.05,
17,MEGHALAYA,,6075653,,67.52,,6963001,,70.42,,3947451,,53.91,
18,MIZORAM,,204249,,4.68,,221564,,4.88,,230133,,5.04,
19,NAGALAND,,13513,,0.29,,3500,,0.07,,3500,,0.06,
20,ODISHA,,1175921,,2.66,,1455294,,2.45,,1731738,,2.88,
21,PUNJAB,,61446,,0.22,,70000,,0.19,,70000,,0.2,
22,RAJASTHAN,,30781,,0.03,,11,,0.0,,11,,0.0,
23,SIKKIM,,0,,0.0,,0,,0.0,,0,,0.0,
24,TAMIL NADU,,22316461,,20.63,,28059514,,23.85,,28395985,,24.45,
25,TELANGANA,,1013266,,3.14,,1066667,,2.64,,1066667,,2.49,
26,TRIPURA,,78592,,1.22,,85063,,1.03,,87550,,0.93,
27,UTTARAKHAND,,1101089,,5.81,,1532000,,6.82,,2002240,,7.17,
28,UTTAR PRADESH,,249823987,,76.7,,290693217,,76.46,,331488956,,77.72,
29,WEST BENGAL,,46352453,,70.08,,53351319,,71.9,,56332296,,65.11,
30,A & N ISLANDS,,0,,0.0,,0,,0.0,,0,,0.0,
31,CHANDIGARH,,40000,,1.76,,45000,,2.02,,47000,,2.0,
32,DADRA & NAGAR HAVELI,,0,,0.0,,0,,0.0,,0,,0.0,
33,DAMAN & DIU,,0,,0.0,,0,,0.0,,0,,0.0,
34,DELHI,,0,,0.0,,0,,0.0,,0,,0.0,
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,,0,,0.0,
36,PUDUCHERRY,,0,,0.0,,0,,0.0,,0,,0.0,
