"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON ELEMENTARY EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON ELEMENTARY EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON ELEMENTARY EDUCATION.2
1,ANDHRA PRADESH,59432632,80.88,66681271,83.09,78831277,83.42
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,143847,0.23,809073,1.05,80506,0.1
4,BIHAR,10355933,21.02,13790004,23.99,14360800,24.71
5,CHHATTISGARH,19411570,37.69,6486576,10.49,27551762,32.04
6,GOA,0,0.0,0,0.0,0,0.0
7,GUJARAT,0,0.0,0,0.0,0,0.0
8,HARYANA,0,0.0,100,0.0,100,0.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,23,0.0,350,0.0,350,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,95670504,90.51,100022700,87.46,125774700,94.76
13,KERALA,7810,0.01,42000,0.06,42000,0.06
14,MADHYA PRADESH,50693635,51.8,56995348,46.58,17880890,17.17
15,MAHARAHSTRA,186736193,97.39,227955685,96.44,249544001,96.72
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,0,0.0,2000,0.02,2030,0.03
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,46819084,43.97,39742036,53.49,43631606,50.75
23,SIKKIM,1148537,90.77,1294741,84.28,1396960,90.37
24,TAMIL NADU,64770,0.06,65373,0.06,65373,0.06
25,TELANGANA,28721745,88.87,36489652,90.2,38679111,90.25
26,TRIPURA,0,0.0,0,0.0,0,0.0
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,0,0.0,0,0.0,0,0.0
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,483000,45.05,440000,44.82,0,0.0
33,DAMAN & DIU,97100,26.58,43800,13.89,0,0.0
34,DELHI,15935393,97.04,17002203,77.86,17992421,80.48
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
