"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,Unnamed: 6,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 8,2017-18 (REVISED ESTIMATE),Unnamed: 10,Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 13,2018-19 (BUDGET ESTIMATE),Unnamed: 15,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,ANDHRA PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
2,ARUNACHAL PRADESH,,,80623,,,1.48,,227366,,,3.15,,0,,0.0
3,ASSAM,,,5980,,,0.01,,25492,,,0.03,,26100,,0.03
4,BIHAR,,,0,,,0.0,,1,,,0.0,,1,,0.0
5,CHHATTISGARH,,,37481,,,0.07,,214884,,,0.35,,232054,,0.27
6,GOA,,,9271,,,0.31,,11872,,,0.32,,12550,,0.28
7,GUJARAT,,,246586,,,0.22,,246969,,,0.18,,348622,,0.28
8,HARYANA,,,0,,,0.0,,0,,,0.0,,0,,0.0
9,HIMACHAL PRADESH,,,24882,,,0.11,,11800,,,0.2,,15900,,0.05
10,JAMMU & KASHMIR,,,0,,,0.0,,0,,,0.0,,0,,0.0
11,JHARKHAND,,,98698,,,0.22,,186610,,,0.39,,360373,,0.63
12,KARNATAKA,,,261823,,,0.25,,287000,,,0.25,,268800,,0.2
13,KERALA,,,87318,,,0.14,,153120,,,0.23,,210520,,0.31
14,MADHYA PRADESH,,,8117,,,0.01,,10601,,,0.01,,11893,,0.01
15,MAHARAHSTRA,,,711457,,,0.37,,785608,,,0.33,,870748,,0.34
16,MANIPUR,,,0,,,0.0,,250,,,0.01,,450,,0.01
17,MEGHALAYA,,,0,,,0.0,,0,,,0.0,,0,,0.0
18,MIZORAM,,,0,,,0.0,,0,,,0.0,,0,,0.0
19,NAGALAND,,,0,,,0.0,,0,,,0.0,,0,,0.0
20,ODISHA,,,0,,,0.0,,0,,,0.0,,0,,0.0
21,PUNJAB,,,0,,,0.0,,0,,,0.0,,0,,0.0
22,RAJASTHAN,,,0,,,0.0,,0,,,0.0,,0,,0.0
23,SIKKIM,,,15545,,,1.23,,23351,,,1.52,,24595,,1.59
24,TAMIL NADU,,,0,,,0.0,,0,,,0.0,,0,,0.0
25,TELANGANA,,,0,,,0.0,,0,,,0.0,,0,,0.0
26,TRIPURA,,,170560,,,2.66,,10286,,,0.12,,26479,,0.28
27,UTTARAKHAND,,,0,,,0.0,,1820,,,0.01,,1820,,0.01
28,UTTAR PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
29,WEST BENGAL,,,218372,,,0.33,,413943,,,0.56,,429595,,0.5
30,A & N ISLANDS,,,65229,,,2.41,,75250,,,2.41,,79495,,2.48
31,CHANDIGARH,,,34992,,,1.54,,37350,,,1.67,,42085,,1.79
32,DADRA & NAGAR HAVELI,,,0,,,0.0,,0,,,0.0,,0,,0.0
33,DAMAN & DIU,,,0,,,0.0,,0,,,0.0,,0,,0.0
34,DELHI,,,367861,,,2.24,,624800,,,2.86,,177500,,0.79
35,LAKSHADWEEP,,,0,,,0.0,,0,,,0.0,,0,,0.0
36,PUDUCHERRY,,,0,,,0.0,,0,,,0.0,,0,,0.0
