"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,Unnamed: 6,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 8,2017-18 (REVISED ESTIMATE),Unnamed: 10,Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 13,2018-19 (BUDGET ESTIMATE),Unnamed: 15,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2",Unnamed: 17
1,,ANDHRA PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
2,,ARUNACHAL PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
3,,ASSAM,,502992,,,0.8,,400000,,,0.52,,250000,,,0.31
4,,BIHAR,,5616720,,,11.4,,5819693,,,10.12,,5550001,,,9.55
5,,CHHATTISGARH,,2735222,,,5.31,,3487180,,,5.64,,3778160,,,4.39
6,,GOA,,0,,,0.0,,0,,,0.0,,0,,,0.0
7,,GUJARAT,,0,,,0.0,,0,,,0.0,,0,,,0.0
8,,HARYANA,,760671,,,1.35,,852000,,,1.34,,852000,,,1.2
9,,HIMACHAL PRADESH,,0,,,0.0,,684,,,0.01,,0,,,0.0
10,,JAMMU & KASHMIR,,0,,,0.0,,0,,,0.0,,0,,,0.0
11,,JHARKHAND,,0,,,0.0,,0,,,0.0,,0,,,0.0
12,,KARNATAKA,,4070612,,,3.85,,5527800,,,4.83,,46556,,,0.04
13,,KERALA,,0,,,0.0,,0,,,0.0,,0,,,0.0
14,,MADHYA PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
15,,MAHARAHSTRA,,0,,,0.0,,0,,,0.0,,0,,,0.0
16,,MANIPUR,,0,,,0.0,,700,,,0.02,,1000,,,0.02
17,,MEGHALAYA,,0,,,0.0,,850,,,0.01,,1100,,,0.02
18,,MIZORAM,,0,,,0.0,,0,,,0.0,,0,,,0.0
19,,NAGALAND,,85157,,,1.82,,81446,,,1.55,,50000,,,0.8
20,,ODISHA,,38498,,,0.09,,48099,,,0.08,,42910,,,0.07
21,,PUNJAB,,0,,,0.0,,4500,,,0.01,,4500,,,0.01
22,,RAJASTHAN,,332194,,,0.31,,340000,,,0.46,,340000,,,0.4
23,,SIKKIM,,0,,,0.0,,0,,,0.0,,0,,,0.0
24,,TAMIL NADU,,0,,,0.0,,0,,,0.0,,0,,,0.0
25,,TELANGANA,,0,,,0.0,,0,,,0.0,,0,,,0.0
26,,TRIPURA,,0,,,0.0,,0,,,0.0,,0,,,0.0
27,,UTTARAKHAND,,0,,,0.0,,1,,,0.0,,1,,,0.0
28,,UTTAR PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
29,,WEST BENGAL,,98307,,,0.15,,135051,,,0.18,,141054,,,0.16
30,,A & N ISLANDS,,0,,,0.0,,0,,,0.0,,0,,,0.0
31,,CHANDIGARH,,0,,,0.0,,0,,,0.0,,0,,,0.0
32,,DADRA & NAGAR HAVELI,,0,,,0.0,,0,,,0.0,,0,,,0.0
33,,DAMAN & DIU,,0,,,0.0,,0,,,0.0,,0,,,0.0
34,,DELHI,,0,,,0.0,,0,,,0.0,,0,,,0.0
35,,LAKSHADWEEP,,0,,,0.0,,0,,,0.0,,0,,,0.0
36,,PUDUCHERRY,,280,,,0.01,,407,,,0.02,,600,,,0.02
