"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,Unnamed: 6,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 8,2017-18 (REVISED ESTIMATE),Unnamed: 10,Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 13,2018-19 (BUDGET ESTIMATE),Unnamed: 15,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,ANDHRA PRADESH,,,0,0.0,,,0,,0.0,,,0,,0.0,
2,ARUNACHAL PRADESH,,,0,0.0,,,0,,0.0,,,0,,0.0,
3,ASSAM,,,794213,1.26,,,1050020,,1.36,,,448086,,0.55,
4,BIHAR,,,0,0.0,,,0,,0.0,,,0,,0.0,
5,CHHATTISGARH,,,565045,1.1,,,797900,,1.29,,,875000,,1.02,
6,GOA,,,0,0.0,,,0,,0.0,,,0,,0.0,
7,GUJARAT,,,900000,0.82,,,0,,0.0,,,0,,0.0,
8,HARYANA,,,123858,0.22,,,123750,,0.19,,,139500,,0.2,
9,HIMACHAL PRADESH,,,0,0.0,,,0,,0.0,,,0,,0.0,
10,JAMMU & KASHMIR,,,0,0.0,,,0,,0.0,,,0,,0.0,
11,JHARKHAND,,,0,0.0,,,0,,0.0,,,0,,0.0,
12,KARNATAKA,,,0,0.0,,,0,,0.0,,,0,,0.0,
13,KERALA,,,0,0.0,,,0,,0.0,,,0,,0.0,
14,MADHYA PRADESH,,,946883,0.97,,,673100,,0.55,,,110000,,0.11,
15,MAHARAHSTRA,,,0,0.0,,,0,,0.0,,,0,,0.0,
16,MANIPUR,,,0,0.0,,,200,,0.0,,,300,,0.01,
17,MEGHALAYA,,,0,0.0,,,0,,0.0,,,0,,0.0,
18,MIZORAM,,,0,0.0,,,0,,0.0,,,0,,0.0,
19,NAGALAND,,,20000,0.43,,,20000,,0.38,,,20000,,0.32,
20,ODISHA,,,256680,0.58,,,301947,,0.51,,,266180,,0.44,
21,PUNJAB,,,0,0.0,,,0,,0.0,,,0,,0.0,
22,RAJASTHAN,,,0,0.0,,,0,,0.0,,,0,,0.0,
23,SIKKIM,,,19582,1.55,,,110000,,7.16,,,49200,,3.18,
24,TAMIL NADU,,,748080,0.69,,,802000,,0.68,,,802000,,0.69,
25,TELANGANA,,,15207,0.05,,,0,,0.0,,,0,,0.0,
26,TRIPURA,,,0,0.0,,,0,,0.0,,,0,,0.0,
27,UTTARAKHAND,,,0,0.0,,,0,,0.0,,,0,,0.0,
28,UTTAR PRADESH,,,0,0.0,,,0,,0.0,,,0,,0.0,
29,WEST BENGAL,,,1423470,2.15,,,1616743,,2.18,,,1822785,,2.11,
30,A & N ISLANDS,,,0,0.0,,,0,,0.0,,,0,,0.0,
31,CHANDIGARH,,,0,0.0,,,0,,0.0,,,0,,0.0,
32,DADRA & NAGAR HAVELI,,,0,0.0,,,0,,0.0,,,0,,0.0,
33,DAMAN & DIU,,,0,0.0,,,0,,0.0,,,0,,0.0,
34,DELHI,,,0,0.0,,,0,,0.0,,,0,,0.0,
35,LAKSHADWEEP,,,0,0.0,,,0,,0.0,,,0,,0.0,
36,PUDUCHERRY,,,107287,4.44,,,101034,,3.98,,,109371,,4.33,
