"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 ACTUAL,Unnamed: 5,% AGE TO TOTAL EXP. ON ELEMENTRY EDUCATION,Unnamed: 7,2017-18 R E,Unnamed: 9,Unnamed: 10,Unnamed: 11,% AGE TO TOTAL EXP. ON ELEMENTRY EDUCATION.1,Unnamed: 13,2018-19 B E,Unnamed: 15,% AGE TO TOTAL EXP. ON E E 
1,ANDHRA PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
2,ARUNACHAL PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
3,ASSAM,,,0,,,0.0,,0,,,0.0,,0,,0.0
4,BIHAR,,,0,,,0.0,,0,,,0.0,,0,,0.0
5,CHHATTISGARH,,,4763,,,0.01,,8000,,,0.01,,8000,,0.01
6,GOA,,,0,,,0.0,,0,,,0.0,,0,,0.0
7,GUJARAT,,,0,,,0.0,,0,,,0.0,,0,,0.0
8,HARYANA,,,0,,,0.0,,0,,,0.0,,0,,0.0
9,HIMACHAL PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
10,JAMMU & KASHMIR,,,0,,,0.0,,0,,,0.0,,0,,0.0
11,JHARKHAND,,,0,,,0.0,,0,,,0.0,,0,,0.0
12,KARNATAKA,,,0,,,0.0,,0,,,0.0,,0,,0.0
13,KERALA,,,0,,,0.0,,0,,,0.0,,0,,0.0
14,MADHYA PRADESH,,,0,,,0.0,,0,,,0.0,,0,,0.0
15,MAHARAHSTRA,,,0,,,0.0,,0,,,0.0,,0,,0.0
16,MANIPUR,,,0,,,0.0,,0,,,0.0,,0,,0.0
17,MEGHALAYA,,,0,,,0.0,,0,,,0.0,,0,,0.0
18,MIZORAM,,,0,,,0.0,,0,,,0.0,,0,,0.0
19,NAGALAND,,,5700,,,0.12,,4200,,,0.08,,4200,,0.07
20,ODISHA,,,0,,,0.0,,0,,,0.0,,0,,0.0
21,PUNJAB,,,0,,,0.0,,0,,,0.0,,0,,0.0
22,RAJASTHAN,,,14964,,,0.01,,10054,,,0.01,,12554,,0.01
23,SIKKIM,,,0,,,0.0,,0,,,0.0,,0,,0.0
24,TAMIL NADU,,,0,,,0.0,,0,,,0.0,,0,,0.0
25,TELANGANA,,,0,,,0.0,,0,,,0.0,,0,,0.0
26,TRIPURA,,,0,,,0.0,,0,,,0.0,,0,,0.0
27,UTTARAKHAND,,,0,,,0.0,,0,,,0.0,,0,,0.0
28,UTTAR PRADESH,,,411125,,,0.13,,822170,,,0.22,,696275,,0.16
29,WEST BENGAL,,,222,,,0.0,,0,,,0.0,,224,,0.0
30,A & N ISLANDS,,,0,,,0.0,,0,,,0.0,,0,,0.0
31,CHANDIGARH,,,0,,,0.0,,0,,,0.0,,0,,0.0
32,DADRA & NAGAR HAVELI,,,0,,,0.0,,0,,,0.0,,0,,0.0
33,DAMAN & DIU,,,0,,,0.0,,0,,,0.0,,0,,0.0
34,DELHI,,,0,,,0.0,,0,,,0.0,,0,,0.0
35,LAKSHADWEEP,,,0,,,0.0,,0,,,0.0,,0,,0.0
36,PUDUCHERRY,,,0,,,0.0,,0,,,0.0,,0,,0.0
