"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 5,2017-18 (REVISED ESTIMATE),Unnamed: 7,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 9,2018-19 (BUDGET ESTIMATE),Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
1,ANDHRA PRADESH,,0,,,0.0,,1851708,,,2.31,,854426,,,0.9
2,ARUNACHAL PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
3,ASSAM,,0,,,0.0,,0,,,0.0,,0,,,0.0
4,BIHAR,,23843,,,0.05,,35747,,,0.06,,32218,,,0.06
5,CHHATTISGARH,,1077332,,,2.09,,2710700,,,4.38,,2800444,,,3.26
6,GOA,,0,,,0.0,,0,,,0.0,,0,,,0.0
7,GUJARAT,,2423694,,,2.21,,3041947,,,2.27,,3435684,,,2.78
8,HARYANA,,1293185,,,2.3,,1780000,,,2.8,,1900000,,,2.67
9,HIMACHAL PRADESH,,42458,,,0.19,,53100,,,0.88,,48400,,,0.15
10,JAMMU & KASHMIR,,0,,,0.0,,0,,,0.0,,0,,,0.0
11,JHARKHAND,,2200000,,,4.81,,2192561,,,4.59,,4395700,,,7.74
12,KARNATAKA,,0,,,0.0,,0,,,0.0,,0,,,0.0
13,KERALA,,4136542,,,6.53,,2717968,,,4.12,,3482250,,,5.07
14,MADHYA PRADESH,,0,,,0.0,,0,,,0.0,,0,,,0.0
15,MAHARAHSTRA,,0,,,0.0,,0,,,0.0,,0,,,0.0
16,MANIPUR,,0,,,0.0,,20000,,,0.48,,20000,,,0.47
17,MEGHALAYA,,0,,,0.0,,0,,,0.0,,0,,,0.0
18,MIZORAM,,70104,,,1.61,,132758,,,2.92,,0,,,0.0
19,NAGALAND,,10184,,,0.22,,107083,,,2.03,,0,,,0.0
20,ODISHA,,344948,,,0.78,,365955,,,0.62,,493349,,,0.82
21,PUNJAB,,0,,,0.0,,1279885,,,3.54,,1178740,,,3.35
22,RAJASTHAN,,4359973,,,4.09,,1839000,,,2.47,,2820001,,,3.28
23,SIKKIM,,10000,,,0.79,,10000,,,0.65,,10000,,,0.65
24,TAMIL NADU,,0,,,0.0,,0,,,0.0,,0,,,0.0
25,TELANGANA,,0,,,0.0,,0,,,0.0,,0,,,0.0
26,TRIPURA,,256042,,,3.99,,325068,,,3.95,,2475,,,0.03
27,UTTARAKHAND,,0,,,0.0,,0,,,0.0,,0,,,0.0
28,UTTAR PRADESH,,7065296,,,2.17,,6161197,,,1.62,,7699566,,,1.81
29,WEST BENGAL,,4747443,,,7.18,,4577363,,,6.17,,7031265,,,8.13
30,A & N ISLANDS,,0,,,0.0,,0,,,0.0,,0,,,0.0
31,CHANDIGARH,,0,,,0.0,,0,,,0.0,,0,,,0.0
32,DADRA & NAGAR HAVELI,,0,,,0.0,,0,,,0.0,,0,,,0.0
33,DAMAN & DIU,,0,,,0.0,,0,,,0.0,,0,,,0.0
34,DELHI,,0,,,0.0,,881800,,,4.04,,993600,,,4.44
35,LAKSHADWEEP,,0,,,0.0,,0,,,0.0,,0,,,0.0
36,PUDUCHERRY,,0,,,0.0,,0,,,0.0,,0,,,0.0
