"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 5,2017-18 (REVISED ESTIMATE),Unnamed: 7,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 9,2018-19 (BUDGET ESTIMATE),Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2"
1,ANDHRA PRADESH,0,,0.0,,0,,0.0,,0,,0.0
2,ARUNACHAL PRADESH,530094,,9.73,,900000,,12.46,,0,,0.0
3,ASSAM,0,,0.0,,0,,0.0,,0,,0.0
4,BIHAR,0,,0.0,,189475,,0.33,,550002,,0.95
5,CHHATTISGARH,6471656,,12.57,,12420000,,20.08,,11724000,,13.63
6,GOA,220173,,7.35,,250001,,6.72,,500001,,11.23
7,GUJARAT,3705633,,3.37,,4672949,,3.48,,4805537,,3.88
8,HARYANA,2611392,,4.65,,3093100,,4.87,,3558600,,4.99
9,HIMACHAL PRADESH,142504,,0.63,,400000,,6.63,,400000,,1.27
10,JAMMU & KASHMIR,2110000,,11.34,,2860000,,13.36,,2860000,,12.67
11,JHARKHAND,2358000,,5.16,,2080000,,4.35,,3180000,,5.6
12,KARNATAKA,3090528,,2.92,,3539300,,3.09,,2411400,,1.82
13,KERALA,80000,,0.13,,85000,,0.13,,110000,,0.16
14,MADHYA PRADESH,0,,0.0,,0,,0.0,,0,,0.0
15,MAHARAHSTRA,0,,0.0,,656000,,0.28,,750000,,0.29
16,MANIPUR,142163,,4.21,,210000,,5.01,,210000,,4.89
17,MEGHALAYA,0,,0.0,,0,,0.0,,0,,0.0
18,MIZORAM,0,,0.0,,0,,0.0,,0,,0.0
19,NAGALAND,93484,,2.0,,96739,,1.84,,0,,0.0
20,ODISHA,0,,0.0,,500000,,0.84,,480000,,0.8
21,PUNJAB,0,,0.0,,3460240,,9.58,,3466823,,9.86
22,RAJASTHAN,43830020,,41.16,,22509626,,30.29,,26502000,,30.83
23,SIKKIM,65000,,5.14,,60000,,3.91,,35000,,2.26
24,TAMIL NADU,14113247,,13.04,,14500000,,12.32,,0,,0.0
25,TELANGANA,0,,0.0,,0,,0.0,,0,,0.0
26,TRIPURA,0,,0.0,,0,,0.0,,0,,0.0
27,UTTARAKHAND,0,,0.0,,382077,,1.7,,473070,,1.69
28,UTTAR PRADESH,59679459,,18.32,,71031301,,18.68,,73771231,,17.3
29,WEST BENGAL,3216708,,4.86,,4260000,,5.74,,6020000,,6.96
30,A & N ISLANDS,0,,0.0,,0,,0.0,,0,,0.0
31,CHANDIGARH,0,,0.0,,0,,0.0,,0,,0.0
32,DADRA & NAGAR HAVE,0,,0.0,,0,,0.0,,0,,0.0
33,DAMAN & DIU,0,,0.0,,0,,0.0,,0,,0.0
34,DELHI,0,,0.0,,1250000,,5.72,,1400000,,6.26
35,LAKSHADWEEP,0,,0.0,,0,,0.0,,0,,0.0
36,PUDUCHERRY,0,,0.0,,0,,0.0,,0,,0.0
