"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION",Unnamed: 5,2017-18 (REVISED ESTIMATE),Unnamed: 7,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.1",Unnamed: 9,2018-19 (BUDGET ESTIMATE),Unnamed: 11,"% AGE TO TOTAL EXP. ON ELEMENTARY
EDUCATION.2",Unnamed: 13
1,ANDHRA PRADESH,,1235658,,1.68,,3045560,,3.79,,2572600,,2.72
2,ARUNACHAL PRADESH,,8000,,0.15,,282600,,3.91,,0,,0.0
3,ASSAM,,19987787,,31.78,,22554971,,29.2,,25199259,,31.16
4,BIHAR,,441126,,0.9,,700100,,1.22,,610000,,1.05
5,CHHATTISGARH,,0,,0.0,,0,,0.0,,0,,0.0
6,GOA,,14798,,0.49,,409533,,11.0,,543999,,12.21
7,GUJARAT,,101692518,,92.56,,124171558,,92.57,,113742598,,91.94
8,HARYANA,,3403947,,6.06,,3595000,,5.66,,4335000,,6.08
9,HIMACHAL PRADESH,,314571,,1.4,,712369,,11.81,,768900,,2.44
10,JAMMU & KASHMIR,,0,,0.0,,0,,0.0,,0,,0.0
11,JHARKHAND,,3435618,,7.52,,1920000,,4.02,,2820000,,4.97
12,KARNATAKA,,350796,,0.33,,1483100,,1.3,,2221330,,1.67
13,KERALA,,479580,,0.76,,35000,,0.05,,40000,,0.06
14,MADHYA PRADESH,,0,,0.0,,2,,0.0,,3,,0.0
15,MAHARAHSTRA,,4085439,,2.13,,5600001,,2.37,,5612301,,2.18
16,MANIPUR,,2594,,0.08,,6308,,0.15,,14002,,0.33
17,MEGHALAYA,,6822,,0.08,,9400,,0.1,,9200,,0.13
18,MIZORAM,,0,,0.0,,0,,0.0,,0,,0.0
19,NAGALAND,,0,,0.0,,0,,0.0,,0,,0.0
20,ODISHA,,331177,,0.75,,802872,,1.35,,1931369,,3.21
21,PUNJAB,,4819588,,17.42,,6270697,,17.36,,7097318,,20.19
22,RAJASTHAN,,6948077,,6.53,,5897533,,7.94,,8076381,,9.39
23,SIKKIM,,0,,0.0,,0,,0.0,,0,,0.0
24,TAMIL NADU,,5527967,,5.11,,6638388,,5.64,,4714802,,4.06
25,TELANGANA,,40758,,0.13,,44638,,0.11,,50697,,0.12
26,TRIPURA,,5114462,,79.62,,7396856,,89.82,,7571360,,80.2
27,UTTARAKHAND,,29200,,0.15,,41001,,0.18,,101001,,0.36
28,UTTAR PRADESH,,6912406,,2.12,,9472004,,2.49,,10518830,,2.47
29,WEST BENGAL,,9439151,,14.27,,9078093,,12.24,,14573299,,16.84
30,A & N ISLANDS,,241949,,8.95,,238364,,7.65,,245514,,7.65
31,CHANDIGARH,,1380,,0.06,,0,,0.0,,0,,0.0
32,DADRA & NAGAR HAVELI,,0,,0.0,,0,,0.0,,0,,0.0
33,DAMAN & DIU,,2094,,0.57,,2700,,0.86,,2700,,1.0
34,DELHI,,118602,,0.72,,390000,,1.79,,530000,,2.37
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,,0,,0.0
36,PUDUCHERRY,,454522,,18.81,,453227,,17.87,,2320745,,91.88
