"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),Unnamed: 4,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",Unnamed: 6,2017-18 (REVISED ESTIMATE),Unnamed: 8,"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,,46797865,,65.19,,49763080,,64.04,60028411,54.16
2,ARUNACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
3,ASSAM,,0,,0.0,,0,,0.0,0,0.0
4,BIHAR,,7885348,,31.24,,11777072,,32.31,11075000,31.53
5,CHHATTISGARH,,7224220,,18.98,,10047300,,23.76,10376000,18.78
6,GOA,,0,,0.0,,0,,0.0,0,0.0
7,GUJARAT,,1459604,,3.37,,1474325,,3.03,1661050,2.98
8,HARYANA,,0,,0.0,,100,,0.0,100,0.0
9,HIMACHAL PRADESH,,0,,0.0,,0,,0.0,0,0.0
10,JAMMU & KASHMIR,,0,,0.0,,0,,0.0,0,0.0
11,JHARKHAND,,0,,0.0,,0,,0.0,0,0.0
12,KARNATAKA,,39436666,,74.03,,40318800,,71.94,47873700,75.96
13,KERALA,,10199,,0.02,,34492,,0.05,34492,0.05
14,MADHYA PRADESH,,30758134,,58.63,,32240794,,50.73,84450001,73.9
15,MAHARAHSTRA,,6315013,,3.81,,7199906,,3.97,8251127,4.01
16,MANIPUR,,13781,,0.53,,270,,0.01,270,0.01
17,MEGHALAYA,,0,,0.0,,0,,0.0,0,0.0
18,MIZORAM,,0,,0.0,,0,,0.0,0,0.0
19,NAGALAND,,0,,0.0,,0,,0.0,0,0.0
20,ODISHA,,0,,0.0,,0,,0.0,0,0.0
21,PUNJAB,,0,,0.0,,0,,0.0,0,0.0
22,RAJASTHAN,,0,,0.0,,0,,0.0,0,0.0
23,SIKKIM,,1232459,,26.37,,1347321,,26.58,1178570,20.78
24,TAMIL NADU,,0,,0.0,,0,,0.0,0,0.0
25,TELANGANA,,26884799,,72.3,,30118741,,73.51,32165886,71.68
26,TRIPURA,,53710,,0.68,,74591,,0.7,57362,0.42
27,UTTARAKHAND,,0,,0.0,,0,,0.0,0,0.0
28,UTTAR PRADESH,,0,,0.0,,0,,0.0,0,0.0
29,WEST BENGAL,,0,,0.0,,0,,0.0,0,0.0
30,A & N ISLANDS,,52300,,3.18,,60145,,3.39,65000,3.58
31,CHANDIGARH,,0,,0.0,,0,,0.0,0,0.0
32,DADRA & NAGAR HAVELI,,0,,0.0,,0,,0.0,0,0.0
33,DAMAN & DIU,,0,,0.0,,0,,0.0,0,0.0
34,DELHI,,1016916,,2.05,,1052462,,1.68,1157740,1.79
35,LAKSHADWEEP,,0,,0.0,,0,,0.0,0,0.0
36,PUDUCHERRY,,0,,0.0,,0,,0.0,0,0.0
