"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON SECONDARY
EDUCATION.2"
1,ANDHRA PRADESH,1943450,2.71,4436462,5.71,9050765,8.17
2,ARUNACHAL PRADESH,4100,0.21,22484,0.85,160300,5.6
3,ASSAM,5671684,18.35,5207100,12.48,5538344,11.37
4,BIHAR,904631,3.58,1125707,3.09,710202,2.02
5,CHHATTISGARH,234043,0.61,44480,0.11,44480,0.08
6,GOA,926044,13.17,1577549,19.42,1572079,25.47
7,GUJARAT,1569763,3.62,1602243,3.29,1968001,3.53
8,HARYANA,1773234,6.26,2049900,6.19,2060300,5.39
9,HIMACHAL PRADESH,284150,1.71,512351,2.44,381180,1.68
10,JAMMU & KASHMIR,702130,3.4,823343,3.83,668926,2.89
11,JHARKHAND,841800,8.85,1215300,10.72,1227803,9.81
12,KARNATAKA,0,0.0,0,0.0,0,0.0
13,KERALA,344266,0.53,615634,0.89,316121,0.43
14,MADHYA PRADESH,86526,0.16,98332,0.15,0,0.0
15,MAHARAHSTRA,681875,0.41,1347184,0.74,1615696,0.79
16,MANIPUR,309435,11.9,178528,5.74,145735,4.39
17,MEGHALAYA,2679536,46.97,548024,11.27,372850,7.67
18,MIZORAM,66157,2.77,73168,2.94,77658,3.12
19,NAGALAND,69237,1.46,72395,1.41,78586,1.24
20,ODISHA,5055810,17.13,3565033,8.6,5939561,11.71
21,PUNJAB,1951806,3.96,3224633,5.4,5893040,9.1
22,RAJASTHAN,8791232,7.34,11939159,8.43,15792637,9.05
23,SIKKIM,3246349,69.46,3504386,69.13,3638221,64.16
24,TAMIL NADU,2957259,2.85,4778812,4.26,2635754,2.23
25,TELANGANA,1521628,4.09,961761,2.35,1860960,4.15
26,TRIPURA,7068624,90.1,9699472,91.6,12805566,93.99
27,UTTARAKHAND,369923,1.6,224691,0.83,238812,0.75
28,UTTAR PRADESH,7796412,11.14,5940269,7.86,4657336,5.52
29,WEST BENGAL,3932868,3.62,3051880,2.75,7865849,6.18
30,A & N ISLANDS,126751,7.72,146653,8.27,154540,8.5
31,CHANDIGARH,0,0.0,0,0.0,0,0.0
32,DADRA & NAGAR HAVELI,0,0.0,0,0.0,0,0.0
33,DAMAN & DIU,470368,50.12,442000,52.81,422300,53.06
34,DELHI,28624017,57.69,4230000,6.73,3140500,4.85
35,LAKSHADWEEP,1668,0.36,4000,0.86,3500,0.73
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
