S. No.,STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.2"
1,ANDHRA PRADESH,155440,0.08,136456,0.07,230433,0.09
2,ARUNACHAL PRADESH,584188,5.87,368205,3.28,276473,2.77
3,ASSAM,286161,0.25,690649,0.47,740532,0.47
4,BIHAR,3585165,3.36,3233170,2.33,2576341,1.67
5,CHHATTISGARH,24999,0.03,552500,0.48,447000,0.29
6,GOA,16077,0.12,19472,0.12,20198,0.13
7,GUJARAT,262948,0.14,19545,0.01,22992,0.01
8,HARYANA,72747,0.07,6800,0.01,11100,0.01
9,HIMACHAL PRADESH,0,0.0,200,0.0,405,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,34314,0.05,244400,0.3,259000,0.28
12,KARNATAKA,398986,0.2,129900,0.06,90400,0.04
13,KERALA,149000,0.09,312500,0.18,222500,0.12
14,MADHYA PRADESH,0,0.0,0,0.0,0,0.0
15,MAHARAHSTRA,150723,0.03,286936,0.06,242825,0.04
16,MANIPUR,51461,0.61,57732,0.58,62510,0.61
17,MEGHALAYA,84616,0.49,73140,0.41,76880,0.5
18,MIZORAM,33631,0.38,37974,0.39,15833,0.17
19,NAGALAND,0,0.0,21,0.0,21,0.0
20,ODISHA,0,0.0,0,0.0,0,0.0
21,PUNJAB,2148,0.0,3500,0.0,3500,0.0
22,RAJASTHAN,250725,0.1,357945,0.15,393018,0.14
23,SIKKIM,832,0.01,1000,0.01,0,0.0
24,TAMIL NADU,201520,0.08,293633,0.1,211967,0.07
25,TELANGANA,184684,0.21,203649,0.2,219352,0.2
26,TRIPURA,409351,2.59,0,0.0,5000,0.02
27,UTTARAKHAND,0,0.0,0,0.0,0,0.0
28,UTTAR PRADESH,0,0.0,0,0.0,0,0.0
29,WEST BENGAL,147607,0.07,162053,0.06,263291,0.09
30,A & N ISLANDS,13318,0.27,14861,0.27,15361,0.27
31,CHANDIGARH,13525,0.22,13200,0.21,17000,0.26
32,DADRA & NAGAR HAVELI,0,0.0,1400,0.09,1400,0.11
33,DAMAN & DIU,2349,0.15,1800,0.12,2500,0.17
34,DELHI,1576795,2.1,900,0.0,950,0.0
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,281485,3.57,36862,0.48,42893,0.42
37,CENTRAL TOTAL,3374067,0.47,3769133,0.46,3663333,0.43
