"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON ADULT
EDUCATION.2"
1,ANDHRA PRADESH,0,0,0,0,0,0
2,ARUNACHAL PRADESH,0,0,0,0,0,0
3,ASSAM,0,0,0,0,0,0
4,BIHAR,0,0,0,0,0,0
5,CHHATTISGARH,0,0,0,0,0,0
6,GOA,0,0,0,0,0,0
7,GUJARAT,0,0,0,0,0,0
8,HARYANA,0,0,0,0,0,0
9,HIMACHAL PRADESH,0,0,0,0,0,0
10,JAMMU & KASHMIR,0,0,0,0,0,0
11,JHARKHAND,0,0,0,0,0,0
12,KARNATAKA,0,0,0,0,0,0
13,KERALA,0,0,0,0,0,0
14,MADHYA PRADESH,0,0,0,0,0,0
15,MAHARAHSTRA,0,0,0,0,0,0
16,MANIPUR,0,0,0,0,0,0
17,MEGHALAYA,0,0,0,0,0,0
18,MIZORAM,0,0,0,0,0,0
19,NAGALAND,0,0,0,0,0,0
20,ODISHA,0,0,0,0,0,0
21,PUNJAB,0,0,0,0,0,0
22,RAJASTHAN,0,0,0,0,0,0
23,SIKKIM,0,0,0,0,0,0
24,TAMIL NADU,0,0,0,0,0,0
25,TELANGANA,0,0,0,0,0,0
26,TRIPURA,0,0,0,0,0,0
27,UTTARAKHAND,0,0,0,0,0,0
28,UTTAR PRADESH,0,0,0,0,0,0
29,WEST BENGAL,0,0,0,0,0,0
30,A & N ISLANDS,0,0,0,0,0,0
31,CHANDIGARH,0,0,0,0,0,0
32,DADRA & NAGAR HAVELI,0,0,0,0,0,0
33,DAMAN & DIU,0,0,0,0,0,0
34,DELHI,0,0,0,0,0,0
35,LAKSHADWEEP,0,0,0,0,0,0
36,PUDUCHERRY,0,0,0,0,0,0
