"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON
EDUCATION.2"
1,ANDHRA PRADESH,27056324,14.59,29823383,14.92,36483261,14.23
2,ARUNACHAL PRADESH,1151724,11.57,677196,6.04,605701,6.07
3,ASSAM,15906175,13.9,19616580,13.37,20315912,12.82
4,BIHAR,23456356,21.95,34671275,24.96,49650253,32.09
5,CHHATTISGARH,5351921,5.51,8094073,7.02,8246990,5.4
6,GOA,2201636,16.73,2433981,15.6,3229913,20.11
7,GUJARAT,16520042,9.03,17018524,7.86,19909800,9.12
8,HARYANA,12466946,12.39,14929430,12.97,16009200,12.33
9,HIMACHAL PRADESH,3507878,8.09,4940433,15.05,4572133,7.65
10,JAMMU & KASHMIR,5949791,12.91,7300200,14.17,8477500,15.22
11,JHARKHAND,10498281,14.8,12371765,15.22,13221139,14.16
12,KARNATAKA,32355648,16.09,28771782,13.66,27429200,11.73
13,KERALA,25543785,15.74,27633850,15.92,31247197,16.75
14,MADHYA PRADESH,16516218,9.65,17588931,8.41,18609137,7.6
15,MAHARAHSTRA,49511661,11.47,55636935,11.11,59562684,10.85
16,MANIPUR,1766531,21.11,2269063,22.74,2279933,22.13
17,MEGHALAYA,2016548,11.61,2115975,11.78,2121385,13.66
18,MIZORAM,1244238,14.04,1453869,15.06,1436449,15.11
19,NAGALAND,826558,7.95,944292,8.17,1086447,7.81
20,ODISHA,17971633,19.17,17229864,14.24,19657732,14.73
21,PUNJAB,7457895,8.64,6345453,6.06,5352397,4.96
22,RAJASTHAN,11616070,4.79,11850942,5.08,13413434,4.78
23,SIKKIM,241042,3.63,277022,3.74,301812,3.7
24,TAMIL NADU,22641836,8.89,24863646,8.89,26536244,9.1
25,TELANGANA,13410909,15.31,16099287,15.74,18650485,16.71
26,TRIPURA,815497,5.15,1020079,5.02,1233993,4.96
27,UTTARAKHAND,2714744,5.88,3208264,5.87,4378771,6.58
28,UTTAR PRADESH,18272943,4.35,21453138,4.42,24393717,4.48
29,WEST BENGAL,39642946,17.58,55397675,22.17,55974469,19.73
30,A & N ISLANDS,324591,6.52,378320,6.77,413840,7.18
31,CHANDIGARH,1530248,25.33,1666999,25.95,1676848,25.22
32,DADRA & NAGAR HAVELI,170000,9.36,110000,6.75,110000,8.65
33,DAMAN & DIU,71155,4.4,75700,4.99,86200,5.95
34,DELHI,2824167,3.76,2989000,3.26,3591000,3.79
35,LAKSHADWEEP,131412,9.2,140900,9.4,136000,8.83
36,PUDUCHERRY,1170881,14.84,1114548,14.39,1449077,14.32
37,CENTRAL TOTAL,166638400,23.17,178621000,21.82,202648900,23.84
