"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,137363,0.51,180405,0.6,215944,0.59
2,ARUNACHAL PRADESH,44696,3.88,45258,6.68,45125,7.45
3,ASSAM,517110,3.25,1193943,6.09,985037,4.85
4,BIHAR,36482,0.16,86751,0.25,83309,0.17
5,CHHATTISGARH,40519,0.76,1090690,13.48,722310,8.76
6,GOA,34674,1.57,39998,1.64,59202,1.83
7,GUJARAT,152569,0.92,170582,1.0,165986,0.83
8,HARYANA,596237,4.78,740858,4.96,906730,5.66
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,19500,0.33,6200,0.08,6200,0.07
11,JHARKHAND,13089,0.12,32767,0.26,28200,0.21
12,KARNATAKA,1130860,3.5,523400,1.82,153100,0.56
13,KERALA,321334,1.26,369168,1.34,386481,1.24
14,MADHYA PRADESH,150044,0.91,190012,1.08,222810,1.2
15,MAHARAHSTRA,0,0.0,0,0.0,0,0.0
16,MANIPUR,22551,1.28,32000,1.41,33000,1.45
17,MEGHALAYA,7328,0.36,51375,2.43,56820,2.68
18,MIZORAM,50851,4.09,46111,3.17,42318,2.95
19,NAGALAND,86870,10.51,299138,31.68,78795,7.25
20,ODISHA,127560,0.71,130357,0.76,116995,0.6
21,PUNJAB,732,0.01,798,0.01,900,0.02
22,RAJASTHAN,124389,1.07,138985,1.17,169274,1.26
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,148220,0.65,257579,1.04,248240,0.94
25,TELANGANA,153826,1.15,166073,1.03,184304,0.99
26,TRIPURA,52716,6.46,76781,7.53,85511,6.93
27,UTTARAKHAND,33315,1.23,40759,1.27,54309,1.24
28,UTTAR PRADESH,115523,0.63,127413,0.59,148446,0.61
29,WEST BENGAL,235259,0.59,365517,0.66,431940,0.77
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,0,0.0,4592,0.28,6700,0.4
32,DADRA & NAGAR HAVELI,170000,100.0,110000,100.0,110000,100.0
33,DAMAN & DIU,71155,100.0,75700,100.0,86200,100.0
34,DELHI,6232,0.22,30000,1.0,30000,0.84
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,0,0.0,0,0.0,0,0.0
