"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.1",Unnamed: 7,2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON UNIVERSITY
EDUCATION.2"
1,ANDHRA PRADESH,,6313012,23.33,7727953,25.91,,8418962,23.08
2,ARUNACHAL PRADESH,,584696,50.77,631288,93.22,,560576,92.55
3,ASSAM,,12912646,81.18,15077264,76.86,,15486623,76.23
4,BIHAR,,450950,1.92,526971,1.52,,581041,1.17
5,CHHATTISGARH,,4082984,76.29,5752550,71.07,,6224980,75.48
6,GOA,,313207,14.23,354319,14.56,,383099,11.86
7,GUJARAT,,1015173,6.15,1046479,6.15,,1237247,6.21
8,HARYANA,,3659556,29.35,4600872,30.82,,4984470,31.14
9,HIMACHAL PRADESH,,2291787,65.33,3583933,72.54,,3176033,69.47
10,JAMMU & KASHMIR,,2858491,48.04,3857200,52.84,,4607200,54.35
11,JHARKHAND,,948324,9.03,1181465,9.55,,1621492,12.26
12,KARNATAKA,,15147922,46.82,11361700,39.49,,10558300,38.49
13,KERALA,,3746096,14.67,4581079,16.58,,5626284,18.01
14,MADHYA PRADESH,,13267082,80.33,14239036,80.95,,15180146,81.57
15,MAHARAHSTRA,,1172151,2.37,1982695,3.56,,2221771,3.73
16,MANIPUR,,1646125,93.18,1924943,84.83,,1922063,84.3
17,MEGHALAYA,,296715,14.71,399637,18.89,,548594,25.86
18,MIZORAM,,1130856,90.89,1376245,94.66,,1371656,95.49
19,NAGALAND,,673918,81.53,550586,58.31,,941152,86.63
20,ODISHA,,2795277,15.55,3685422,21.39,,3591450,18.27
21,PUNJAB,,1825037,24.47,2061561,32.49,,212780,3.98
22,RAJASTHAN,,7956928,68.5,7588813,64.04,,8517794,63.5
23,SIKKIM,,241042,100.0,277022,100.0,,301812,100.0
24,TAMIL NADU,,7033713,31.07,7897778,31.76,,8624082,32.5
25,TELANGANA,,8093622,60.35,5352750,33.25,,9538723,51.14
26,TRIPURA,,737150,90.39,895370,87.77,,1076292,87.22
27,UTTARAKHAND,,1450137,53.42,1802731,56.19,,2541207,58.03
28,UTTAR PRADESH,,2357943,12.9,3218516,15.0,,3808890,15.61
29,WEST BENGAL,,5050800,12.74,3466249,6.26,,133441,0.24
30,A & N ISLANDS,,0,0.0,0,0.0,,0,0.0
31,CHANDIGARH,,861227,56.28,942407,56.53,,988648,58.96
32,DADRA & NAGAR HAVELI,,0,0.0,0,0.0,,0,0.0
33,DAMAN & DIU,,0,0.0,0,0.0,,0,0.0
34,DELHI,,0,0.0,0,0.0,,0,0.0
35,LAKSHADWEEP,,0,0.0,0,0.0,,0,0.0
36,PUDUCHERRY,,828693,70.78,861818,77.32,,938876,64.79
