"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON EDUCATION.2
1,ANDHRA PRADESH,8974671,4.84,9028250,4.52,9763903,3.81
2,ARUNACHAL PRADESH,213747,2.15,184592,1.65,340710,3.42
3,ASSAM,2126831,1.86,4028314,2.75,3559942,2.25
4,BIHAR,1071268,1.0,1697851,1.22,3771682,2.44
5,CHHATTISGARH,1925914,1.98,2259265,1.96,2345335,1.54
6,GOA,805657,6.12,1130409,7.25,1996013,12.43
7,GUJARAT,5716833,3.12,8729314,4.03,10009675,4.58
8,HARYANA,3527184,3.51,3468800,3.01,4294510,3.31
9,HIMACHAL PRADESH,513004,1.18,597934,1.82,666417,1.12
10,JAMMU & KASHMIR,832502,1.81,1285251,2.49,1454286,2.61
11,JHARKHAND,4869659,6.87,9004358,11.08,10040415,10.75
12,KARNATAKA,7718842,3.84,7891000,3.75,8398600,3.59
13,KERALA,7996962,4.93,10065014,5.8,11150003,5.98
14,MADHYA PRADESH,3083255,1.8,4009129,1.92,6025863,2.46
15,MAHARAHSTRA,23655009,5.48,22103045,4.41,24201982,4.41
16,MANIPUR,439544,5.25,167317,1.68,176150,1.71
17,MEGHALAYA,245915,1.42,152242,0.85,238500,1.54
18,MIZORAM,91498,1.03,200958,2.08,115454,1.21
19,NAGALAND,143054,1.38,199405,1.72,171578,1.23
20,ODISHA,1524371,1.63,2105437,1.74,2103138,1.58
21,PUNJAB,1532743,1.78,1859095,1.78,1911963,1.77
22,RAJASTHAN,1728966,0.71,1895861,0.81,2327057,0.83
23,SIKKIM,12140,0.18,75875,1.02,80501,0.99
24,TAMIL NADU,14002379,5.5,16062923,5.74,21829448,7.48
25,TELANGANA,3853674,4.4,3810615,3.73,4226561,3.79
26,TRIPURA,67196,0.42,65794,0.32,213350,0.86
27,UTTARAKHAND,1093165,2.37,1448708,2.65,1844057,2.77
28,UTTAR PRADESH,2893637,0.69,3555585,0.73,4068983,0.75
29,WEST BENGAL,5268223,2.34,4319408,1.73,7839395,2.76
30,A & N ISLANDS,186114,3.74,200900,3.59,200700,3.48
31,CHANDIGARH,673256,11.15,770600,12.0,815800,12.27
32,DADRA & NAGAR HAVELI,47997,2.64,50600,3.11,48500,3.81
33,DAMAN & DIU,99838,6.18,100500,6.63,107900,7.45
34,DELHI,2313200,3.08,3214413,3.51,3321774,3.5
35,LAKSHADWEEP,131412,9.2,140900,9.4,136000,8.83
36,PUDUCHERRY,715238,9.07,880842,11.38,860350,8.5
37,CENTRAL TOTAL,117730800,16.37,162164700,19.81,140199300,16.49
