"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.1,2018-19 (BUDGET ESTIMATE),% AGE TO TOTAL EXP. ON TECHNICAL EDUCATION.2
1,ANDHRA PRADESH,108322,1.21,124840,1.38,132513,1.36
2,ARUNACHAL PRADESH,0,0.0,0,0.0,0,0.0
3,ASSAM,369370,17.37,603116,14.97,676985,19.02
4,BIHAR,599849,55.99,1015340,59.8,2897720,76.83
5,CHHATTISGARH,371328,19.28,471600,20.87,598215,25.51
6,GOA,298510,37.05,375063,33.18,381885,19.13
7,GUJARAT,2511506,43.93,2917715,33.42,3481047,34.78
8,HARYANA,115528,3.28,86100,2.48,470000,10.94
9,HIMACHAL PRADESH,140867,27.46,154726,25.88,185360,27.81
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,1568965,32.22,2772150,30.79,3875685,38.6
12,KARNATAKA,557330,7.22,672800,8.53,587800,7.0
13,KERALA,2612897,32.67,3020057,30.01,3350216,30.05
14,MADHYA PRADESH,391267,12.69,449864,11.22,496531,8.24
15,MAHARAHSTRA,1660879,7.02,1753558,7.93,1753468,7.25
16,MANIPUR,0,0.0,0,0.0,0,0.0
17,MEGHALAYA,0,0.0,0,0.0,0,0.0
18,MIZORAM,0,0.0,0,0.0,0,0.0
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,568825,37.32,798509,37.93,807808,38.41
21,PUNJAB,0,0.0,0,0.0,0,0.0
22,RAJASTHAN,0,0.0,0,0.0,0,0.0
23,SIKKIM,0,0.0,0,0.0,0,0.0
24,TAMIL NADU,862080,6.16,1093169,6.81,1156659,5.3
25,TELANGANA,30820,0.8,42873,1.13,37523,0.89
26,TRIPURA,6849,10.19,0,0.0,132704,62.2
27,UTTARAKHAND,369157,33.77,425643,29.38,514052,27.88
28,UTTAR PRADESH,599024,20.7,715586,20.13,900250,22.12
29,WEST BENGAL,1230087,23.35,1224340,28.35,1268627,16.18
30,A & N ISLANDS,0,0.0,0,0.0,0,0.0
31,CHANDIGARH,513427,76.26,601040,78.0,638340,78.25
32,DADRA & NAGAR HAVELI,0,0.0,200,0.4,200,0.41
33,DAMAN & DIU,0,0.0,0,0.0,8500,7.88
34,DELHI,1340328,57.94,1880529,58.5,1682970,50.66
35,LAKSHADWEEP,0,0.0,0,0.0,0,0.0
36,PUDUCHERRY,396499,55.44,544848,61.86,499250,58.03
