"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION",2017-18 (REVISED ESTIMATE),"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.1",2018-19 (BUDGET ESTIMATE),"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.2"
1,ANDHRA PRADESH,569810,15.74,687608,27.51,936411,22.8
2,ARUNACHAL PRADESH,558559,100.0,128733,100.0,180722,100.0
3,ASSAM,60089,9.93,73529,7.5,75878,6.63
4,BIHAR,132396,13.84,199847,17.17,183745,15.51
5,CHHATTISGARH,203659,98.2,211333,98.83,259270,99.04
6,GOA,84045,100.0,93326,99.89,105399,99.81
7,GUJARAT,900635,12.6,1129984,14.59,1458324,16.46
8,HARYANA,0,0.0,0,0.0,0,0.0
9,HIMACHAL PRADESH,0,0.0,0,0.0,0,0.0
10,JAMMU & KASHMIR,0,0.0,0,0.0,0,0.0
11,JHARKHAND,0,0.0,0,0.0,0,0.0
12,KARNATAKA,0,0.0,20000,0.64,20000,1.1
13,KERALA,0,0.0,0,0.0,0,0.0
14,MADHYA PRADESH,936407,78.6,1126160,77.65,1400575,86.03
15,MAHARAHSTRA,721572,72.46,804692,16.55,848316,62.53
16,MANIPUR,57238,44.52,77690,48.0,68983,46.55
17,MEGHALAYA,165,0.05,236,0.03,286,0.03
18,MIZORAM,45677,27.7,155650,59.03,53444,31.05
19,NAGALAND,0,0.0,0,0.0,0,0.0
20,ODISHA,35298,63.04,49162,57.49,49692,58.35
21,PUNJAB,289564,99.98,341793,99.46,410645,99.54
22,RAJASTHAN,488833,69.64,439154,74.33,486467,72.24
23,SIKKIM,209359,46.75,274949,60.88,415851,73.49
24,TAMIL NADU,0,0.0,0,0.0,0,0.0
25,TELANGANA,549220,89.78,635756,89.05,657954,88.58
26,TRIPURA,179393,100.0,273240,100.0,177940,100.0
27,UTTARAKHAND,4922,3.05,160975,91.05,220132,92.24
28,UTTAR PRADESH,41983,3.18,47137,1.91,53128,2.01
29,WEST BENGAL,1357953,27.26,1455860,34.95,1937519,42.77
30,A & N ISLANDS,93814,94.29,89300,92.7,89066,92.01
31,CHANDIGARH,49993,98.72,56150,93.35,70192,94.61
32,DADRA & NAGAR HAVELI,12632,17.35,13300,17.71,12850,16.13
33,DAMAN & DIU,0,0.0,0,0.0,0,0.0
34,DELHI,257504,10.98,341436,41.97,585999,75.97
35,LAKSHADWEEP,8446,3.58,9400,3.88,9200,3.18
36,PUDUCHERRY,98316,79.56,104137,73.04,151501,77.88
