"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION",Unnamed: 7,2017-18 (REVISED ESTIMATE),Unnamed: 9,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.2"
1,ANDHRA PRADESH,,,0,,0.0,,0,,0.0,,0,,0.0
2,ARUNACHAL PRADESH,,,0,,0.0,,0,,0.0,,0,,0.0
3,ASSAM,,,0,,0.0,,0,,0.0,,0,,0.0
4,BIHAR,,,0,,0.0,,0,,0.0,,0,,0.0
5,CHHATTISGARH,,,0,,0.0,,0,,0.0,,0,,0.0
6,GOA,,,0,,0.0,,0,,0.0,,0,,0.0
7,GUJARAT,,,12288,,0.17,,10000,,0.13,,10000,,0.11
8,HARYANA,,,0,,0.0,,0,,0.0,,0,,0.0
9,HIMACHAL PRADESH,,,83835,,47.6,,30341,,22.28,,70401,,41.18
10,JAMMU & KASHMIR,,,0,,0.0,,0,,0.0,,0,,0.0
11,JHARKHAND,,,0,,0.0,,0,,0.0,,0,,0.0
12,KARNATAKA,,,307,,0.02,,800,,0.03,,800,,0.04
13,KERALA,,,0,,0.0,,0,,0.0,,0,,0.0
14,MADHYA PRADESH,,,100288,,8.42,,144000,,9.93,,116000,,7.13
15,MAHARAHSTRA,,,7790,,0.78,,11313,,0.23,,14623,,1.08
16,MANIPUR,,,88,,0.07,,150,,0.09,,150,,0.1
17,MEGHALAYA,,,0,,0.0,,200,,0.02,,0,,0.0
18,MIZORAM,,,0,,0.0,,0,,0.0,,0,,0.0
19,NAGALAND,,,0,,0.0,,0,,0.0,,0,,0.0
20,ODISHA,,,0,,0.0,,0,,0.0,,0,,0.0
21,PUNJAB,,,46,,0.02,,165,,0.05,,165,,0.04
22,RAJASTHAN,,,0,,0.0,,0,,0.0,,0,,0.0
23,SIKKIM,,,238501,,53.25,,176688,,39.12,,150000,,26.51
24,TAMIL NADU,,,1100,,0.02,,2460,,0.03,,1100,,0.01
25,TELANGANA,,,0,,0.0,,0,,0.0,,0,,0.0
26,TRIPURA,,,0,,0.0,,0,,0.0,,0,,0.0
27,UTTARAKHAND,,,0,,0.0,,0,,0.0,,0,,0.0
28,UTTAR PRADESH,,,0,,0.0,,0,,0.0,,0,,0.0
29,WEST BENGAL,,,1453918,,29.19,,732,,0.02,,734,,0.02
30,A & N ISLANDS,,,299,,0.3,,300,,0.31,,400,,0.41
31,CHANDIGARH,,,647,,1.28,,4000,,6.65,,4000,,5.39
32,DADRA & NAGAR HAVELI,,,60163,,82.65,,61800,,82.29,,66800,,83.87
33,DAMAN & DIU,,,139124,,100.0,,185600,,100.0,,185700,,100.0
34,DELHI,,,22720,,0.97,,355000,,43.64,,155000,,20.09
35,LAKSHADWEEP,,,0,,0.0,,0,,0.0,,0,,0.0
36,PUDUCHERRY,,,290,,0.23,,700,,0.49,,430,,0.22
