"S.
No.",STATE/UNION TERRITORY,Unnamed: 2,Unnamed: 3,2016-17 (ACTUAL),Unnamed: 5,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION",Unnamed: 7,2017-18 (REVISED ESTIMATE),Unnamed: 9,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.1",Unnamed: 11,2018-19 (BUDGET ESTIMATE),Unnamed: 13,"% AGE TO TOTAL EXP. ON GENERAL
EDUCATION.2"
1,ANDHRA PRADESH,,15048,,,0.42,,1127399,,45.1,,1965205,,47.84
2,ARUNACHAL PRADESH,,0,,,0.0,,0,,0.0,,0,,0.0
3,ASSAM,,179883,,,29.71,,224900,,22.94,,251637,,21.97
4,BIHAR,,577014,,,60.32,,603282,,51.84,,669906,,56.54
5,CHHATTISGARH,,0,,,0.0,,0,,0.0,,0,,0.0
6,GOA,,0,,,0.0,,0,,0.0,,0,,0.0
7,GUJARAT,,176374,,,2.47,,199064,,2.57,,244000,,2.75
8,HARYANA,,0,,,0.0,,0,,0.0,,0,,0.0
9,HIMACHAL PRADESH,,0,,,0.0,,0,,0.0,,0,,0.0
10,JAMMU & KASHMIR,,0,,,0.0,,0,,0.0,,0,,0.0
11,JHARKHAND,,0,,,0.0,,0,,0.0,,0,,0.0
12,KARNATAKA,,862848,,,66.08,,1910000,,61.41,,1104500,,60.48
13,KERALA,,288653,,,48.91,,316402,,53.2,,330132,,45.17
14,MADHYA PRADESH,,0,,,0.0,,0,,0.0,,0,,0.0
15,MAHARAHSTRA,,243833,,,24.49,,329194,,6.77,,401086,,29.56
16,MANIPUR,,48422,,,37.66,,69203,,42.76,,70554,,47.61
17,MEGHALAYA,,242735,,,77.45,,748107,,86.6,,795209,,87.74
18,MIZORAM,,0,,,0.0,,0,,0.0,,0,,0.0
19,NAGALAND,,0,,,0.0,,0,,0.0,,0,,0.0
20,ODISHA,,8914,,,15.92,,6721,,7.86,,6500,,7.63
21,PUNJAB,,0,,,0.0,,0,,0.0,,0,,0.0
22,RAJASTHAN,,0,,,0.0,,0,,0.0,,0,,0.0
23,SIKKIM,,0,,,0.0,,0,,0.0,,0,,0.0
24,TAMIL NADU,,0,,,0.0,,0,,0.0,,0,,0.0
25,TELANGANA,,25034,,,4.09,,28084,,3.93,,30684,,4.13
26,TRIPURA,,0,,,0.0,,0,,0.0,,0,,0.0
27,UTTARAKHAND,,16141,,,9.99,,15825,,8.95,,18525,,7.76
28,UTTAR PRADESH,,441990,,,33.47,,587009,,23.84,,672099,,25.39
29,WEST BENGAL,,0,,,0.0,,0,,0.0,,0,,0.0
30,A & N ISLANDS,,0,,,0.0,,0,,0.0,,0,,0.0
31,CHANDIGARH,,0,,,0.0,,0,,0.0,,0,,0.0
32,DADRA & NAGAR HAVELI,,0,,,0.0,,0,,0.0,,0,,0.0
33,DAMAN & DIU,,0,,,0.0,,0,,0.0,,0,,0.0
34,DELHI,,0,,,0.0,,0,,0.0,,0,,0.0
35,LAKSHADWEEP,,0,,,0.0,,0,,0.0,,0,,0.0
36,PUDUCHERRY,,0,,,0.0,,0,,0.0,,0,,0.0
