"S.
No.",STATE/UNION TERRITORY,2016-17 (ACTUAL),Unnamed: 3,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION,2017-18 (REVISED ESTIMATE),% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.1,2018-19 (BUDGET ESTIMATE),Unnamed: 8,% AGE TO TOTAL EXP. ON LANGUAGE EDUCATION.2
1,ANDHRA PRADESH,,31897,7.9,33127,8.09,36585,8.09,
2,ARUNACHAL PRADESH,,0,0.0,0,0.0,0,0.0,
3,ASSAM,,1487220,88.67,2084499,85.96,2778923,90.0,
4,BIHAR,,0,0.0,0,0.0,0,0.0,
5,CHHATTISGARH,,20044,76.79,28191,78.99,27821,78.77,
6,GOA,,0,0.0,0,0.0,0,0.0,
7,GUJARAT,,31440,26.5,46294,32.21,31031,22.11,
8,HARYANA,,0,0.0,0,0.0,0,0.0,
9,HIMACHAL PRADESH,,4627,5.33,6756,6.66,6488,5.54,
10,JAMMU & KASHMIR,,0,0.0,0,0.0,0,0.0,
11,JHARKHAND,,0,0.0,0,0.0,0,0.0,
12,KARNATAKA,,5018,1.33,6200,1.68,4700,1.14,
13,KERALA,,138372,95.56,160218,97.97,179982,98.17,
14,MADHYA PRADESH,,0,0.0,0,0.0,0,0.0,
15,MAHARAHSTRA,,16,1.65,14,1.23,18,1.42,
16,MANIPUR,,4500,82.07,6880,33.37,6880,35.08,
17,MEGHALAYA,,400,62.02,100,28.57,150,37.5,
18,MIZORAM,,575021,100.0,670965,100.0,707848,100.0,
19,NAGALAND,,10088,100.0,11227,100.0,14263,100.0,
20,ODISHA,,149763,30.26,240791,31.45,190168,25.63,
21,PUNJAB,,4050,2.88,14586,6.57,55590,23.06,
22,RAJASTHAN,,20145,0.97,43910,1.77,54030,1.74,
23,SIKKIM,,0,0.0,0,0.0,0,0.0,
24,TAMIL NADU,,55113,19.59,315125,55.3,226766,45.88,
25,TELANGANA,,9106,21.99,0,0.0,0,0.0,
26,TRIPURA,,0,0.0,0,0.0,0,0.0,
27,UTTARAKHAND,,8241,4.29,14992,6.72,28421,10.34,
28,UTTAR PRADESH,,114395,5.37,123250,5.24,133124,4.96,
29,WEST BENGAL,,134703,22.38,128009,20.83,593467,47.73,
30,A & N ISLANDS,,11075,100.0,10600,100.0,11550,100.0,
31,CHANDIGARH,,0,0.0,0,0.0,0,0.0,
32,DADRA & NAGAR HAVELI,,0,0.0,0,0.0,0,0.0,
33,DAMAN & DIU,,0,0.0,0,0.0,0,0.0,
34,DELHI,,0,0.0,0,0.0,0,0.0,
35,LAKSHADWEEP,,0,0.0,0,0.0,0,0.0,
36,PUDUCHERRY,,0,0.0,0,0.0,0,0.0,
